Country Name,Population total,GDP,"Physicians (per 1,000 people)","Female
00-04","Female
 05-09","Female
 10-14","Female
 15-19","Female
 20-24","Female
 25-29","Female
 30-34","Female
 35-39","Female
 40-44","Female
 45-49","Female
 50-54","Female
 55-59","Female
 60-64","Female
 65-69","Female
 70-74","Female
 75-79","Female
80+","Male
00-04","Male
 05-09","Male
 10-14","Male
 15-19","Male
 20-24","Male
 25-29","Male
 30-34","Male
 35-39","Male
 40-44","Male
 45-49","Male
 50-54","Male
 55-59","Male
 60-64","Male
 65-69","Male
 70-74","Male
 75-79","Male
80+"
Canada,34005274,1614013783731.31,2.068,913242,872378,940185,1083054,1147295,1179382,1146575,1136945,1196524,1382487,1307365,1156018,1001030,754625,582994,499796,838797,961262,925610,988772,1136261,1211545,1209375,1146804,1148414,1214334,1399538,1301779,1124247,962129,710802,518871,411927,494910
China,1337705000,6039658508485.59,1.8,36294044,34916699,37036479,50392705,62244598,48495254,46557412,58401063,61278770,49301000,39589798,40061065,27617070,19304688,15708100,11542366,10387549,42360914,40343495,42008429,56064819,67257483,51288249,49089077,61338518,63255792,51470727,41279591,41341735,28112788,20051712,15754337,10205820,7352854
India,1230984504,1708458876830.18,0.649,60787442,60266684,58820448,56747693,54770039,50755234,44652055,39795781,35220872,31226999,26997590,22792129,16705767,12707191,9508729,5955370,4919721,67697865,67353204,65378305,62649901,59528181,54964743,48130589,42812178,37726435,33329488,28627093,23835353,16468533,12077558,8530330,5202589,4042415
Ukraine,45870700,136419300367.962,3.246,1153505,897768,1044323,1346029,1726736,1823887,1756057,1652215,1517988,1856299,1834772,2013568,1177076,1239445,1587904,838324,1207046,1225217,953443,1095551,1416033,1811170,1894192,1716332,1585498,1439540,1680282,1514884,1543499,868060,752889,883856,404943,412372
Egypt,82040994,218888324504.753,2.83,4669543,4207986,3843600,3951931,4172977,3670794,3029220,2437581,2174532,1959035,1682222,1325074,1207446,801614,635328,459871,406749,4963200,4467051,4051449,4147509,4349904,3790355,3117861,2411936,2156686,2029996,1729795,1344528,1115721,671476,501830,325806,230388
"United 
Kingdom",62766365,2403504326328.8,2.743,1932923,1687233,1802335,2003712,2111014,2115617,1974627,2128411,2390721,2376624,1997112,1772263,1963040,1509103,1282620,1089844,1791269,2024100,1768428,1891804,2065550,2175306,2125115,1984441,2089390,2334113,2316233,1964006,1728349,1891438,1418797,1144514,887315,1028999
"United Arab 
Emirates",8329453,286049336038.121,2.533,208119,169382,158600,204248,278015,287594,248819,203956,144137,89714,48447,23215,14825,6590,4912,3914,2971,216677,178505,179874,277484,692041,1018289,1149894,1007670,646484,440822,231041,101072,52482,21114,9171,6108,3267
Libya,6265697,74773444900.5368,1.9,327515,286009,267044,274623,308392,304096,294546,256201,201678,144959,107377,84230,61086,51472,40223,27030,21968,343962,301633,281508,288015,320603,317609,315025,279944,219459,153551,115001,87084,60370,48568,35205,23067,16644
Sudan,36114885,65634109236.7736,0.28,2783921,2510521,2190886,1896538,1609734,1410220,1218088,1014036,823713,659452,527990,420470,325286,242914,171488,106722,82955,2871460,2581829,2248354,1940327,1637619,1425644,1222508,1007162,806693,637229,503615,397811,308449,223132,151740,90612,65767
Saudi Arabia,28090647,526811466666.667,0.939,1465040,1382272,1347185,1254843,1172816,1100501,1167851,962130,618601,534659,378374,280827,198453,155880,107536,71190,72977,1525390,1441557,1383292,1257860,1295894,1413986,1686647,1814164,1403728,935672,658376,440673,191620,132663,107780,71727,58483
Iraq,30868156,138516722649.573,0.607,2400702,2035945,1836361,1586768,1380716,1195653,1059994,909057,754441,523707,397168,394099,228940,207613,156974,104586,87675,2549107,2158378,1940316,1672647,1460615,1255121,1093112,910194,717482,467466,352200,355111,220472,190692,130608,78834,55402
Iran,74253373,467790215915.472,0.89,3148160,2689598,2661652,3461620,4595348,4633416,3477801,2498198,2137788,1902837,1612320,1327035,842113,577635,481682,355489,307871,3254837,2782869,2881817,3675157,4553385,4363348,3281657,2642337,2442822,2017327,1615496,1304208,787614,616278,573090,424678,325890
